,height,weight,size,color
173,172.72,72.57477920000001,XS,blue
174,175.26,74.84274105,XL,purple
175,185.42000000000002,83.91458845000001,XL,purple
176,170.18,86.1825503,XL,purple
177,182.88,97.52235955,L,yellow
178,180.34,83.91458845000001,L,yellow
179,175.26,81.6466266,XS,blue
180,172.72,74.84274105,XL,purple
181,167.64000000000001,90.718474,L,yellow
182,175.26,74.84274105,XS,blue
183,190.5,72.57477920000001,XS,blue
184,172.72,72.57477920000001,XL,purple
185,177.8,75.74992579,S,red
186,195.58,113.3980925,S,red
187,187.96,83.91458845000001,XL,purple
188,190.5,90.718474,L,yellow
189,172.72,67.13167076,XS,blue
190,165.1,85.27536556,S,red
191,187.96,83.91458845000001,XL,purple
192,180.34,99.79032140000001,L,yellow
193,177.8,103.41906036,XL,purple
194,172.72,73.02837157,S,red
195,180.34,70.76040972,L,yellow
196,172.72,68.94604024,XL,purple
197,185.42000000000002,79.37866475,L,yellow
198,172.72,90.718474,M,green
199,180.34,84.82177319,L,yellow
200,195.58,99.79032140000001,XL,purple
201,175.26,77.1107029,M,green
202,177.8,83.00740371,XS,blue
203,175.26,84.82177319,S,red
204,172.72,70.76040972,L,yellow
205,172.72,104.32624510000001,L,yellow
206,182.88,94.34721296000001,M,green
207,193.04,108.8621688,L,yellow
208,177.8,88.90410452,M,green
209,172.72,83.91458845000001,XL,purple
210,175.26,83.46099608,XL,purple
211,175.26,86.1825503,XL,purple
212,172.72,69.39963261,L,yellow
213,172.72,68.0388555,M,green
214,177.8,93.89362059,XL,purple
215,157.48,49.895160700000005,XS,blue
216,190.5,115.66605435000001,M,green
217,177.8,74.84274105,L,yellow
218,182.88,109.76935354000001,XL,purple
219,167.64000000000001,54.884676770000006,XL,purple
220,162.56,84.36818082,XL,purple
221,175.26,88.45051215000001,L,yellow
222,185.42000000000002,106.59420695,L,yellow
223,175.26,79.37866475,L,yellow
224,182.88,108.8621688,M,green
225,175.26,115.21246198,M,green
226,170.18,88.45051215000001,S,red
227,177.8,77.1107029,S,red
228,180.34,83.46099608,M,green
229,177.8,81.6466266,L,yellow
230,165.1,83.91458845000001,XS,blue
231,175.26,95.2543977,L,yellow
232,167.64000000000001,65.77089365,L,yellow
233,182.88,114.30527724000001,L,yellow
234,175.26,89.81128926000001,L,yellow
235,162.56,70.30681735,L,yellow
236,220.98,97.52235955,L,yellow
237,182.88,84.82177319,L,yellow
238,175.26,77.56429527,L,yellow
239,187.96,81.6466266,XL,purple
240,180.34,65.77089365,L,yellow
241,180.34,106.59420695,XL,purple
242,167.64000000000001,88.45051215000001,L,yellow
243,177.8,96.16158244,L,yellow
244,182.88,88.45051215000001,XL,purple
245,187.96,108.40857643000001,S,red
246,165.1,80.73944186,M,green
247,167.64000000000001,81.6466266,M,green
248,175.26,88.45051215000001,M,green
249,162.56,58.9670081,L,yellow
250,185.42000000000002,115.66605435000001,M,green
251,177.8,84.82177319,M,green
252,180.34,92.98643585,L,yellow
253,175.26,79.37866475,S,red
254,170.18,54.884676770000006,S,red
255,170.18,53.523899660000005,XL,purple
256,167.64000000000001,90.718474,L,yellow
257,172.72,85.72895793,L,yellow
258,177.8,104.32624510000001,L,yellow
259,172.72,68.0388555,L,yellow
260,175.26,73.48196394,L,yellow
261,182.88,90.718474,M,green
262,182.88,90.718474,XS,blue
263,167.64000000000001,71.66759446,L,yellow
264,177.8,111.13013065000001,XL,purple
265,180.34,104.32624510000001,XL,purple
266,167.64000000000001,63.502931800000006,XS,blue
267,185.42000000000002,97.52235955,XL,purple
268,190.5,102.51187562000001,M,green
